"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD009185",278,"Fretzayas 2000",0.7,0.506041288375854,0.85265474319458,0.566037735849057,0.422825993232007,0.701607488236337,21,23,9,30
"CD009185",278,"Garin 2007",1,0.960273265838623,1,0.0851063829787234,0.0374609764586104,0.160822411800953,91,86,0,8
"CD009185",278,"Kotoula 2009a",0.814814814814815,0.619170471473976,0.936999921445493,0.9,0.734711122512818,0.97888298034668,22,3,5,27
"CD009185",278,"Kuzmanovska 2008",0.478527607361963,0.399790535675236,0.55805968653205,0.73109243697479,0.642090040094712,0.808240618024554,78,32,85,87
"CD009185",278,"Melis 1992",0.722222222222222,0.604093896018134,0.821356932322185,0.666666666666667,0.510496457417806,0.799994468688965,52,15,20,30
"CD009185",278,"Sheu 2007",0.804878048780488,0.651334797463766,0.911794150747904,0.911764705882353,0.763224784065695,0.981420516967774,33,3,8,31
"CD009185",278,"Sheu 2011",0.907894736842105,0.819392022333647,0.96216166646857,0.583333333333333,0.407565236091614,0.744859139124552,69,15,7,21
"CD009185",278,"Tuerlinckx 2005",0.94,0.834518308639526,0.987451324462891,0.384615384615385,0.138579515310434,0.684222588172326,47,8,3,5
"CD009185",278,"Wu 2012",0.525,0.36128021478653,0.684880614280701,0.789473684210526,0.680755188590602,0.874610097784745,21,16,19,60
"CD009185",278,"Zaki 1996",0.793103448275862,0.602753129498712,0.920058283312567,0.428571428571429,0.218196732657296,0.65979358128139,23,12,6,9
"CD009323",280,"Ahmed 2006",0.692307692307692,0.385738629561204,0.90907962505634,1,0.857526302337646,1,9,0,4,24
"CD009323",280,"Arnold 1999",0.733333333333333,0.448996512095133,0.922128550211589,1,0.814697742462158,1,11,0,4,18
"CD009323",280,"Arnold 2001a",0.736842105263158,0.487970904300087,0.908534351148104,1,0.915915966033936,1,14,0,5,42
"CD009323",280,"Beenen 2014",0.344262295081967,0.227257384628546,0.476948409784036,1,0.948666095733643,1,21,0,40,70
"CD009323",280,"Brooks 2002",0.52,0.313056983947754,0.722031707763672,1,0.969476222991943,1,13,0,12,119
