"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD008122",65,"Van den Broek 2006",0.901315789473684,0.842462028327741,0.943708244122957,0.994623655913978,0.986292093030868,0.998533515519993,137,4,15,740
"CD008122",65,"Verle 1996",1,0.823533535003662,1,0.878378378378378,0.781638525627755,0.942850216014965,19,9,0,65
"CD008122",65,"Willcox 2009a",0.924657534246575,0.869191362433238,0.961790450631756,0.75,0.428141713142395,0.945139408111572,135,3,11,9
"CD008122",65,"Willcox 2009b",0.709401709401709,0.618255439986531,0.78963511214297,0.807692307692308,0.606494445067186,0.934452130244328,83,5,34,21
"CD008122",65,"Wolday 2001",0.972222222222222,0.854710539182027,0.99929682413737,0.959259259259259,0.928273817344948,0.979489446569372,35,11,1,259
"CD008122",65,"Wongsrichanalai 1999",0.896103896103896,0.805507393626424,0.954065496271307,0.956896551724138,0.922161944981279,0.97913985416807,69,10,8,222
"CD008122",65,"Yadav 1997",0.845070422535211,0.739674769656759,0.92003908291669,0.987012987012987,0.929752969122552,0.999671440619927,60,1,11,76
"CD008122",66,"Gerstl 2009",0.994082840236686,0.967473972478562,0.999850120770155,0.959770114942529,0.918870029778316,0.98367471804564,168,7,1,167
"CD008122",66,"Ratsimbasoa 2007",0.943661971830986,0.861988705648503,0.98443818428147,0.902439024390244,0.835781713811363,0.948565599395008,67,12,4,111
"CD008122",67,"Bell 2001a",0.971698113207547,0.919513320023159,0.994124646456736,0.737704918032787,0.677778564515661,0.791755301053407,103,64,3,180
"CD008122",67,"Bell 2001b",0.857142857142857,0.673347064426967,0.95966420854841,0.835294117647059,0.739118783614215,0.906923496021944,24,14,4,71
"CD008122",67,"Fernando 2004",1,0.857526302337646,1,1,0.987938404083252,1,24,0,0,304
"CD008122",67,"Harani 2006",0.888888888888889,0.739388783772786,0.968883514404297,0.982824427480916,0.967646350387398,0.992116942660499,32,9,4,515
"CD008122",67,"Singh 2000 (c)",0.974842767295597,0.936842459552693,0.993103795081565,0.972972972972973,0.938057512850375,0.991167635531039,155,5,4,180
"CD008122",67,"Tjitra 1999",0.955465587044534,0.921714172672164,0.97756188890712,0.89776357827476,0.858743873267128,0.929013188273762,236,32,11,281
"CD008122",68,"Van den Broek 2006",0.947368421052632,0.898930549621582,0.977006209524054,0.905913978494624,0.882623266148311,0.925920681286884,144,70,8,674
"CD008122",68,"Wongsrichanalai 2003",1,0.907487392425537,1,0.961538461538462,0.925624829072219,0.983251424936148,38,8,0,200
"CD008122",69,"Bell 2001a",0.971698113207547,0.919513320023159,0.994124646456736,0.737704918032787,0.677778564515661,0.791755301053407,103,64,3,180
"CD008122",69,"Bell 2001b",0.857142857142857,0.673347064426967,0.95966420854841,0.835294117647059,0.739118783614215,0.906923496021944,24,14,4,71
"CD008122",69,"Fernando 2004",1,0.857526302337646,1,1,0.987938404083252,1,24,0,0,304
"CD008122",69,"Harani 2006",0.888888888888889,0.739388783772786,0.968883514404297,0.982824427480916,0.967646350387398,0.992116942660499,32,9,4,515
"CD008122",69,"Singh 2000 (c)",0.974842767295597,0.936842459552693,0.993103795081565,0.972972972972973,0.938057512850375,0.991167635531039,155,5,4,180
"CD008122",69,"Tjitra 1999",0.955465587044534,0.921714172672164,0.97756188890712,0.89776357827476,0.858743873267128,0.929013188273762,236,32,11,281
"CD008122",69,"Van den Broek 2006",0.947368421052632,0.898930549621582,0.977006209524054,0.905913978494624,0.882623266148311,0.925920681286884,144,70,8,674
"CD008122",69,"Wongsrichanalai 2003",1,0.907487392425537,1,0.961538461538462,0.925624829072219,0.983251424936148,38,8,0,200
